date,provider,domains_count,unique_keys,unique_ips
2026-04-21,ech.example.net,1,1,0
2026-04-21,google.com,2,1,0
2026-04-21,ietf.org,1,1,2
2026-04-21,nghttp2.org,1,1,2
2026-04-21,pornhub.com,2,1,0
2026-04-21,spaces-games.com,1,1,0
2026-04-21,unknown,11,7,2
2026-04-21,usuarioporno.com,1,1,0
2026-04-22,cloudflare,192453,2,113367
2026-04-22,ech.example.net,1,1,0
2026-04-22,google.com,2,1,0
2026-04-22,ietf.org,2,1,3
2026-04-22,nghttp2.org,1,1,2
2026-04-22,pornhub.com,2,1,0
2026-04-22,spaces-games.com,1,1,0
2026-04-22,unknown,10,7,2
2026-04-22,usuarioporno.com,2,1,0
2026-04-23,cloudflare,190231,2,113276
2026-04-23,ech.example.net,1,1,0
2026-04-23,google.com,1,1,0
2026-04-23,ietf.org,2,1,3
2026-04-23,nghttp2.org,1,1,2
2026-04-23,pornhub.com,2,1,0
2026-04-23,spaces-games.com,1,1,0
2026-04-23,unknown,11,7,2
2026-04-23,usuarioporno.com,2,1,0
2026-04-24,cloudflare,190623,2,113273
2026-04-24,ech.example.net,1,1,0
2026-04-24,google.com,2,1,0
2026-04-24,ietf.org,2,1,3
2026-04-24,nghttp2.org,1,1,2
2026-04-24,pornhub.com,2,1,0
2026-04-24,spaces-games.com,1,1,0
2026-04-24,unknown,11,7,2
2026-04-24,usuarioporno.com,2,1,0
2026-04-25,cloudflare,191068,2,113331
2026-04-25,ech.example.net,1,1,0
2026-04-25,google.com,2,1,0
2026-04-25,ietf.org,1,1,2
2026-04-25,nghttp2.org,1,1,2
2026-04-25,pornhub.com,2,1,0
2026-04-25,spaces-games.com,1,1,0
2026-04-25,unknown,11,7,2
2026-04-25,usuarioporno.com,2,1,0
2026-04-26,cloudflare,191900,2,113294
2026-04-26,ech.example.net,1,1,0
2026-04-26,google.com,2,1,0
2026-04-26,ietf.org,2,1,3
2026-04-26,nghttp2.org,1,1,2
2026-04-26,pornhub.com,2,1,0
2026-04-26,spaces-games.com,1,1,0
2026-04-26,unknown,11,7,2
2026-04-26,usuarioporno.com,2,1,0
2026-04-27,cloudflare,192333,2,113327
2026-04-27,ech.example.net,1,1,0
2026-04-27,google.com,2,1,0
2026-04-27,nghttp2.org,1,1,2
2026-04-27,pornhub.com,2,1,0
2026-04-27,spaces-games.com,1,1,0
2026-04-27,unknown,11,7,2
2026-04-27,usuarioporno.com,2,1,0
2026-04-28,cloudflare,188571,2,113346
2026-04-28,ech.example.net,1,1,0
2026-04-28,google.com,2,1,0
2026-04-28,ietf.org,2,1,3
2026-04-28,nghttp2.org,1,1,2
2026-04-28,pornhub.com,2,1,0
2026-04-28,spaces-games.com,1,1,0
2026-04-28,unknown,11,7,2
2026-04-28,usuarioporno.com,2,1,0
2026-04-29,cloudflare,193975,2,113463
2026-04-29,ech.example.net,1,1,0
2026-04-29,google.com,2,1,0
2026-04-29,ietf.org,1,1,2
2026-04-29,nghttp2.org,1,1,2
2026-04-29,pornhub.com,2,1,0
2026-04-29,spaces-games.com,1,1,0
2026-04-29,unknown,12,8,2
2026-04-29,usuarioporno.com,2,1,0
